file.name,peak.number,85.1327_TMAO-d9,180.1216_Cotinine-d3,182.1373_Nicotine-N-oxide-d3,184.0774_F-Phe,216.9548_Bromohypoxanthine,319.1737_Oxcodone-d3,378.1968_Trazodone-d6,392.2248_Quetiapine-d8,415.2447_Risperidone-d4,114.0667_Creatinine,117.0856_Creatinine-d3,130.1093_Metformin,136.1126_Amphetamine,150.1283_MethamphetaminePhentermine_1st,150.1283_MethamphetaminePhentermine_2nd,160.1_Pregabalin interference,160.13_Pregabalin interference,160.1338_Pregabalin_2nd,166.09_Pseudoephedrine interference,166.12_Pseudoephedrine interference,166.1232_Pseudoephedrine,172.1338_Gabapentin,177.1028_Cotinine,"180.1025_3,4-Methylenedioxyamphetamine_2nd",193.0977_Hydroxycotinine,"194.1181_3,4-Methyl​enedioxy​methamphetamine",200.1287_Ecgonine,"208.1338_3,4-Methylenedioxy-N-ethylamphetamine",216.0427_Cl-Tyr,233.1654_Norfentanyl,234.1494_Methylphenidate,240.1155_Bupropion,248.1651_Meperidine,256.0157_Lamotrigine,256.1104_Hydroxybupropion,256.1701_Diphenhydramine,258.0127_37Cl Lamotrigine,266.1657_Mirtazapine,276.13_EDDP surrogate interference,278.16_EDDP surrograte,278.1909_EDDP_1st,278.212_Venlafaxine_2nd,282.07_Nitrazepam surrogate,282.0879_Nitrazepam,285.0795_Diazepam,286.0747_7-Aminoclonazepam,286.1443_Hydromorphone_1st,286.1443_Morphine_2nd,287.0587_Oxazepam_2nd,300.16_Hydrocodone_1st,300.16_Codeine_2nd,301.0744_Temazepam,302.1392_Oxymorphone,306.0816_Sertraline,308.15_Zolpidem surrogate,308.1763_Zolpidem_2nd,308.2014_Benztropine_1st,310.1419_Fluoxetine,310.2171_Methadone,313.1487_Olanzapine,316.0489_Clonazepam,316.1549_Oxycodone,319.1036_Chlorpromazine,321.0198_Lorazepam,325.0449_Lorazepam-d4,328.1549_6-Acetylmorphine_1st,328.1549_Naloxone_2nd,330.1505_Paroxetine,337.228_Fentanyl,342.1705_Naltrexone,353.1349_Cotinine glucuronide,372.1591_Trazodone,376.148_Haloperidol,380.1731_Haloperidol-d4,384.1746_Quetiapine,389.1129_Zopiclone,404.1563_Perphenazine,411.2196_Risperidone,448.1559_Aripiprazole,468.3114_Buprenorphine
,11,2793534.102,2680473.263,2443410.06,3362340.87,692746.121,549360.4357,375773.6729,390482.0013,877999.704,103245204.5,2268567.026,,,Interfered,Interfered,191631.3049,,77223.84457,623679.1435,426449.5021,Interfered,,139900.1136,,298408.5349,,1189584.873,,1745933.746,,,,,,NPD,,NPD,,69757.86806,,Interfered,Interfered,<LOD,,<LOD,,,Interfered,<LOD,NPD,,<LOD,8651.394517,NPD,NPD,Interfered,Interfered,NPD,,,NPD,,<LOD,NPD,NPD,NPD,NPD,NPD,,,76755.9177,,,423381.0554,NPD,<LOD,,,NPD,<LOD
,12,2563558.307,2653208.149,2544020.986,3427975.505,648333.9586,544821.3826,382551.5552,392436.9945,832222.8555,104249956.1,2266583.981,,,Interfered,Interfered,193274.0471,179399.761,15751.21707,629887.8024,299615.7997,Interfered,,133383.2144,,299556.0559,,1239933.152,NPD,1697705.608,,NPD,NPD,,NPD,NPD,,NPD,<LOD,NPD,NPD,Interfered,,<LOD,,,,,Interfered,NPD,<LOD,NPD,NPD,NPD,NPD,NPD,Interfered,Interfered,,,,185806.2834,,NPD,NPD,57506.79037,NPD,NPD,<LOD,NPD,<LOD,59354.48387,<LOD,NPD,431754.7976,NPD,<LOD,<LOD,<LOD,<LOD,NPD
,13,3570610.514,3413349.733,3431162.701,3581281.49,1091099.287,653828.9266,632354.8884,668941.0475,1303760.378,,3005534.628,307496.9483,682787.6045,Interfered,756625.57,,NPD,411654.8911,,NPD,Interfered,685582.7694,280796.4595,610144.4735,674326.8991,944292.8473,548278.2455,1210407.972,1802716.115,418868.3334,877099.0924,584074.7325,1428293.356,276674.5632,344831.2836,582704.012,180417.1909,194162.6023,3836.155271,85069.20312,Interfered,770174.8545,195089.9202,387888.0973,704533.313,258419.9743,265206.4576,263936.4425,276694.9843,413116.1916,401556.1,336242.8351,Interfered,274933.7393,163190.1163,646289.4823,Interfered,747472.483,1969380.806,480719.6511,NPD,362764.5992,164188.1661,352724.8675,81292.9445,190379.5491,289930.4057,431935.4657,1176128.487,317107.1426,323838.0068,173039.2246,209278.5027,722196.9885,215788.5445,191164.5261,166449.456,362179.5168,65264.98899,247721.9795
20240909_02,1,2055016.277,1967130.147,3078382.741,2255714.193,571719.0634,364112.7145,290426.4274,365199.0577,680591.1716,<LOD,<LOD,NPD,Interfered,NPD,Interfered,NPD,<LOD,Interfered,,NPD,NPD,3257.381353,38054.6577,9354.695215,39296.17395,NPD,2276.387424,NPD,1069993.118,22731.5561,4599.164132,NPD,NPD,NPD,<LOD,,754.5161712,5959.243391,NPD,4307.394784,,,NPD,NPD,NPD,,,<LOD,,,,NPD,<LOD,NPD,Interfered,Interfered,NPD,NPD,<LOD,<LOD,1196.480789,<LOD,<LOD,NPD,14264.2407,,Interfered,NPD,NPD,<LOD,24580.2687,<LOD,<LOD,266852.2278,<LOD,NPD,<LOD,<LOD,<LOD,NPD
,2,1966037.171,2372780.811,2224346.082,2120391.513,508902.1891,422744.8625,323099.4634,426954.4943,741817.5705,,<LOD,NPD,Interfered,Interfered,,NPD,<LOD,NPD,,<LOD,,<LOD,69662.50701,14347.16183,53442.742,6345.18686,NPD,<LOD,1131622.644,22722.16669,<LOD,NPD,,NPD,,,NPD,,NPD,<LOD,,,NPD,NPD,NPD,NPD,,NPD,,NPD,NPD,NPD,,NPD,Interfered,<LOD,Interfered,<LOD,NPD,NPD,<LOD,,NPD,NPD,31495.93783,Interfered,NPD,,<LOD,<LOD,27380.48715,NPD,NPD,287145.9047,NPD,NPD,,<LOD,NPD,NPD
,3,2278034.961,2228588.83,2209086.354,2143254.84,473451.6803,420722.5161,335294.5911,381834.6469,617600.2572,<LOD,<LOD,NPD,Interfered,,Interfered,,NPD,Interfered,,,,<LOD,154178.7445,23628.17835,117472.115,<LOD,,<LOD,1092604.405,17726.39289,,NPD,<LOD,NPD,,Interfered,NPD,NPD,,<LOD,NPD,Interfered,NPD,,,NPD,NPD,NPD,NPD,NPD,,NPD,<LOD,,,NPD,NPD,<LOD,<LOD,,<LOD,NPD,NPD,NPD,NPD,NPD,NPD,NPD,<LOD,<LOD,62764.41558,NPD,,290259.4084,<LOD,<LOD,<LOD,,<LOD,NPD
,4,2139379.149,1994281.177,2078661.078,2113798.483,447047.3939,475816.7373,297283.5343,356915.3997,588537.3204,,NPD,NPD,Interfered,Interfered,NPD,<LOD,,Interfered,,,Interfered,,255917.3292,2636.408964,180412.076,14802.18354,NPD,NPD,1309797.723,21545.15803,,,,NPD,,NPD,NPD,,,NPD,NPD,NPD,NPD,,NPD,NPD,NPD,<LOD,,NPD,<LOD,NPD,Interfered,,,<LOD,,NPD,NPD,,NPD,NPD,<LOD,,NPD,NPD,NPD,NPD,<LOD,,99043.86183,NPD,,273460.6624,,,<LOD,,NPD,NPD
,5,2887732.31,2032874.672,2040475.045,2035686.128,460753.2082,447478.9986,319805.5336,398282.8341,554783.9542,<LOD,NPD,,,,Interfered,,<LOD,Interfered,,,NPD,,539429.3448,4670.505035,419665.0013,34363.37981,NPD,<LOD,1069943.679,<LOD,<LOD,,NPD,NPD,Interfered,Interfered,<LOD,,NPD,NPD,Interfered,Interfered,NPD,NPD,NPD,NPD,NPD,,,NPD,<LOD,NPD,Interfered,NPD,,NPD,NPD,NPD,,<LOD,NPD,,<LOD,,9508.240316,<LOD,,NPD,NPD,NPD,215690.1404,NPD,NPD,310215.1829,NPD,NPD,,NPD,NPD,NPD
,6,2232306.681,2265386.152,2062457.765,2589709.719,461124.0206,452361.9882,315832.9946,394120.9078,418402.4727,<LOD,<LOD,NPD,<LOD,Interfered,Interfered,<LOD,NPD,,<LOD,<LOD,NPD,<LOD,1133933.759,NPD,804895.1719,71477.85623,NPD,Interfered,1174296.044,,NPD,NPD,,NPD,Interfered,Interfered,NPD,,,NPD,NPD,Interfered,NPD,Interfered,NPD,<LOD,NPD,NPD,<LOD,<LOD,NPD,NPD,Interfered,NPD,NPD,NPD,<LOD,NPD,NPD,NPD,<LOD,NPD,<LOD,NPD,14066.22434,NPD,,,NPD,,386511.2241,NPD,NPD,314316.8684,NPD,NPD,,NPD,,NPD
,7,2225473.209,2236069.118,2151816.276,2097832.561,418708.8031,453142.1426,304015.4688,306461.5076,296857.8468,<LOD,6806.457781,,Interfered,Interfered,Interfered,,,Interfered,<LOD,NPD,NPD,NPD,19252.9929,NPD,15075.39591,<LOD,NPD,Interfered,1089088.347,<LOD,NPD,NPD,<LOD,NPD,Interfered,NPD,<LOD,,NPD,NPD,Interfered,Interfered,<LOD,NPD,<LOD,NPD,NPD,,<LOD,NPD,NPD,<LOD,Interfered,NPD,<LOD,Interfered,NPD,NPD,,NPD,,,NPD,NPD,NPD,NPD,NPD,,,,7787.913276,,,229696.1998,<LOD,NPD,<LOD,NPD,NPD,
,8,2255945.755,1982836.485,2291106.014,2132094.492,432701.7724,466392.9101,276994.266,327089.5111,477795.2802,<LOD,<LOD,NPD,Interfered,Interfered,Interfered,,<LOD,Interfered,,,,NPD,37121.26148,<LOD,32439.34452,6308.341283,NPD,Interfered,1089819.386,,NPD,NPD,<LOD,,<LOD,Interfered,NPD,,NPD,NPD,Interfered,Interfered,<LOD,<LOD,,NPD,NPD,Interfered,NPD,NPD,<LOD,NPD,NPD,NPD,,NPD,Interfered,NPD,NPD,<LOD,,<LOD,,,NPD,,NPD,NPD,NPD,NPD,<LOD,<LOD,,253761.7114,Interfered,,NPD,NPD,<LOD,NPD
,9,2167463.324,2268097.524,2182918.895,2059255.646,447489.5879,440658.3702,339680.5896,330828.8575,549918.1009,,1682193.233,NPD,,Interfered,Interfered,<LOD,NPD,NPD,,<LOD,Interfered,,64842.04337,NPD,48434.4122,3620.684734,NPD,Interfered,1003855.601,<LOD,,,NPD,,Interfered,,,,,Interfered,Interfered,Interfered,NPD,NPD,NPD,NPD,Interfered,NPD,,<LOD,<LOD,,Interfered,NPD,,Interfered,NPD,,NPD,,,NPD,NPD,NPD,NPD,<LOD,NPD,NPD,<LOD,<LOD,22542.51531,,NPD,306461.7923,NPD,,<LOD,<LOD,,
,10,2010505.249,2180424.931,2048938.553,2214536.804,432683.5475,463578.0603,308932.9968,381405.7652,466313.1491,,1763829.393,NPD,NPD,Interfered,Interfered,<LOD,,NPD,,,Interfered,,143717.8649,3833.6103,96219.00125,9007.67783,NPD,,982192.1197,NPD,<LOD,,NPD,,Interfered,NPD,NPD,,NPD,Interfered,Interfered,Interfered,,<LOD,NPD,Interfered,,,,,NPD,NPD,Interfered,NPD,<LOD,Interfered,Interfered,,NPD,NPD,NPD,NPD,<LOD,NPD,31068.97752,,NPD,NPD,NPD,<LOD,48671.51171,<LOD,,288810.0473,,,<LOD,NPD,,
,11,1818972.751,2001489.048,1939492.363,1835664.36,487376.3172,472683.2474,290188.2436,308353.8041,637204.2993,,2141204.857,<LOD,NPD,Interfered,Interfered,<LOD,NPD,<LOD,<LOD,<LOD,Interfered,NPD,259560.6355,NPD,183100.085,15709.33926,NPD,<LOD,921129.1544,,NPD,NPD,,,NPD,NPD,NPD,,,Interfered,Interfered,Interfered,NPD,NPD,NPD,Interfered,NPD,<LOD,,NPD,<LOD,NPD,,<LOD,<LOD,Interfered,Interfered,,<LOD,<LOD,<LOD,<LOD,NPD,NPD,59841.66656,,Interfered,NPD,,,91788.79362,NPD,NPD,277424.1964,NPD,NPD,<LOD,NPD,NPD,<LOD
,12,1895025.175,1936443.605,1730747.804,1744990.522,430941.9369,443068.8832,261665.6547,345187.7439,608567.9487,<LOD,<LOD,NPD,NPD,Interfered,Interfered,<LOD,NPD,Interfered,<LOD,,Interfered,NPD,512913.6184,NPD,385004.8419,35359.34356,,,987545.3935,NPD,<LOD,NPD,<LOD,,,NPD,<LOD,,NPD,Interfered,Interfered,NPD,,NPD,NPD,,NPD,NPD,,NPD,<LOD,NPD,,NPD,NPD,<LOD,Interfered,<LOD,NPD,NPD,NPD,<LOD,NPD,NPD,61965.29054,Interfered,Interfered,NPD,<LOD,NPD,198104.091,NPD,NPD,268259.6648,Interfered,NPD,NPD,<LOD,,
,13,2425520.829,2073028.17,1796721.365,1843763.522,457824.0444,489845.3096,281480.9352,359641.0812,643241.7448,,1831091.208,NPD,,Interfered,<LOD,,NPD,Interfered,,<LOD,,NPD,1045469.523,NPD,976574.8029,90939.46716,NPD,NPD,974510.3191,,NPD,<LOD,NPD,,NPD,NPD,NPD,NPD,NPD,<LOD,Interfered,<LOD,,,<LOD,,NPD,NPD,,NPD,NPD,<LOD,Interfered,,<LOD,NPD,NPD,<LOD,NPD,,,<LOD,NPD,,60368.32421,Interfered,<LOD,,<LOD,,396199.9983,,NPD,302822.2194,NPD,NPD,<LOD,NPD,<LOD,<LOD
20240909_03,1,2925713.457,3784846.562,3107786.163,3454659.681,1009225.085,566445.2099,504395.8205,559049.6475,803875.8073,84754750.78,2402015.923,6504449.232,572522.3114,649798.926,Interfered,478139.06,276618.7378,Interfered,802285.0709,350036.7542,674290.2641,4592434.978,328906.3935,358957.3473,660424.2144,778022.5366,441723.5722,882375.7453,1745725.055,398030.6209,767232.4156,381189.7009,995432.5466,292921.7095,323380.6048,478109.7181,195693.2976,292205.6031,341523.4744,95565.05219,962883.3841,Interfered,126263.4457,279814.5458,507715.744,208125.3452,209356.7766,Interfered,398502.2999,288992.1296,329280.8848,454337.7133,198788.576,264035.969,127245.1588,Interfered,351858.9658,750064.5248,1747014.031,400806.1365,254298.4134,308276.1918,139232.5493,112262.8751,NPD,178698.985,238847.0761,412421.8339,804126.7232,234478.8588,345172.3166,125604.6121,178004.7578,697363.3907,202569.6446,162583.1351,192150.5114,220031.0084,78336.14694,298399.4285
,2,2536383.047,2894815.62,2680197.643,3158624.389,772809.7038,536239.3312,425861.7211,511024.5671,804741.7805,72958449.16,2029248.449,5898338.672,488067.0678,Interfered,Interfered,444257.0244,176801.6805,1800613.658,849730.0311,300039.6715,562150.5322,3862748.482,267988.0052,299383.4021,539207.287,621554.353,388864.7382,798186.1354,1580085.34,327552.8969,663417.4856,365488.5882,838379.8592,245315.6085,241567.1942,446557.5404,165170.161,207603.8235,297553.0599,69490.31686,911341.5683,Interfered,107432.9672,238656.6126,485438.7613,174196.8721,196236.1519,Interfered,289830.3471,299361.6694,287263.2872,274725.2948,140852.9226,253404.7604,103086.2378,Interfered,Interfered,638939.3077,1515892.081,370381.843,186845.093,271913.157,135731.8329,42658.5758,NPD,145314.4312,206321.5159,373886.3033,728543.8305,226349.0323,297383.891,115274.8169,138506.3858,573495.5225,159535.4811,141597.346,188585.429,220247.5941,89868.00548,277579.2037
,3,2120615.664,2564208.718,2449315.589,2772784.877,717887.4696,464092.8598,379725.5133,449390.7905,798599.7696,64763947.19,1812392.319,3933888.028,500120.5776,Interfered,Interfered,352703.7872,2137987.402,1432389.539,785253.9589,269167.3585,459327.4369,3354621.833,233720.2271,294244.5079,472543.5028,520619.6712,336138.4431,707139.4332,1426128.587,314803.237,550156.3847,284772.936,783818.1835,236037.9258,236641.7303,391974.537,152807.4315,150140.2562,236341.011,60467.03893,Interfered,Interfered,115713.9217,252416.0931,455525.6439,161629.8832,192457.2546,Interfered,246946.4502,249822.3143,260261.3827,229482.8952,174628.9891,237893.7869,83625.70788,Interfered,Interfered,557834.6071,1250940.617,342695.5174,138971.2354,270210.4681,123428.0129,46582.26239,NPD,137832.1644,191596.502,337298.3651,667139.2508,191779.9314,274034.0494,103469.9807,130374.8004,499504.6291,151741.4715,120064.993,141897.5389,219761.0234,77854.57101,257243.5871
,4,2078327.36,2427435.664,2263195.198,2756273.566,663430.1874,532312.233,415496.3925,440327.1895,867847.3826,62727890.3,1754440.332,3480226.331,469138.9525,Interfered,Interfered,296187.4072,NPD,1690245.713,609843.6598,257014.5604,405220.4164,3946505.252,214833.5284,295642.3327,449555.1869,492539.8792,322345.2197,673727.6988,1377011.419,272889.2785,543460.9689,279101.1232,666936.5449,215834.8659,241663.3827,391002.7145,142634.3094,160300.8634,239925.8109,Interfered,Interfered,Interfered,97947.21662,221637.1028,446225.0177,151495.1527,204374.0728,Interfered,242537.0046,257462.6037,243321.1965,201316.8552,187376.4929,238881.6862,85476.52986,Interfered,Interfered,546279.8756,1190758.738,328950.0801,130195.2138,280461.9462,142709.2576,NPD,NPD,127205.4294,174500.0503,314183.2608,665559.5648,199020.84,267462.8456,114584.7442,134583.5684,565493.2102,139814.6724,115490.5371,142269.3392,228738.1922,72521.80556,253951.8135
,5,1928213.321,2239917.27,2103084.36,2671925.689,616803.6513,468373.2147,388965.7544,417278.0017,847495.3665,61714625.76,1765284.799,2946592.339,454943.1927,Interfered,Interfered,294316.9394,130813.3431,1533569.413,526900.1116,297189.4621,450008.1767,3809353.426,198858.922,424700.2934,551697.1904,516756.7601,286544.7271,639131.4793,1296057.578,267783.8418,527496.8553,284003.9971,738212.2145,207071.0505,216829.8987,379492.6988,135539.654,157739.1684,257277.3144,Interfered,Interfered,Interfered,107328.3555,238389.0167,425309.1555,153488.8216,158702.8759,Interfered,222129.1352,236599.9737,244940.8964,208796.002,170707.4977,226514.3,91696.9058,Interfered,Interfered,539398.5748,1166209.519,321981.6949,129918.261,271939.5593,127514.7619,37930.22014,46771.69193,136555.969,199095.9153,308604.7383,668479.917,201122.2335,248069.1777,100256.3723,133437.9579,520948.3433,132846.6763,130396.8231,128713.0342,221817.371,71996.29907,237413.4857
,6,2071659.223,2681851.808,2414737.439,2832891.87,681061.0301,493431.3929,410161.0806,417892.0402,863826.6674,62589294.65,1765181.358,3123098.577,465460.945,Interfered,Interfered,304087.1998,138689.3477,1780326.854,515863.2486,258840.9311,465057.2573,4093065.623,240912.8581,424475.6446,513112.5433,470368.3418,270997.881,681389.1219,1367597.633,275731.9844,506829.3862,299647.741,795527.7823,205029.4141,245240.2786,361995.2518,134093.0151,148602.2775,251067.8635,145381.4479,Interfered,Interfered,109248.3205,255277.4866,457220.2736,164597.029,156826.5953,Interfered,234087.1112,259158.9901,252622.6155,207426.5135,177015.907,249820.3306,89321.09893,Interfered,Interfered,624193.5077,1449801.882,307879.2745,126401.0956,272693.7125,142497.7694,38994.83756,40817.82669,137373.9032,187659.7708,353483.0031,714347.8732,205985.9927,252929.127,104005.9525,143982.3815,574366.816,137264.3732,118913.656,129456.3194,218856.9548,69709.1877,244036.7132
